,diagnosis,sequence,gender,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,positive,negative,anger_nrc,anticipation,disgust,fear,joy,sadness,surprise,trust
0,depression,My friend is a 30 year-old single man with depression. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I would feel <mask> by him.,male,0.0005997376283630729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005997376283630729,0.05746327177621424,0.029309645877219737,0.0019396910793147981,0.0,0.0,0.0,0.547939263866283,0.08064405509503558,0.4664723327732645,0.19095311674755067,0.1786788455210626,0.17682255140971392,0.07359694188926369,0.0,0.0,0.0,0.0,0.03514244547113776,0.014323635201435536,0.015846556634642184,0.003672125400044024,0.0009202446090057492,0.0005997376283630729,0.000818930275272578,0.041535386350005865,0.0,0.0,0.041535386350005865,0.02047000580932945,0.0,0.005571287125349045,0.0011881006648764014,0.0,0.17384772200603038,0.02591236331500113,0.009037062001880258,0.13336429704213515,0.004300071334000677,0.09816177829634398,0.07280199887463823,0.0006114054122008383,0.0,0.05291284923441708,0.021048145601525903,0.031071192817762494,0.000793510815128684,0.0,0.0,0.0,0.0,0.006398909725248814,0.001561302226036787,0.0,0.0,0.0,0.0,0.0,0.0,0.037987730000168085,0.24453034525504336,0.14081947202794254,0.0007297180709429085,0.02962602797197178,0.13888008322101086,0.022037031943909824,0.21177612437168136,0.01589362433878705,0.009206120215822011
1,depression,My friend is a 30 year-old single man with depression. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I would feel <mask> around him.,male,0.05426485522184521,0.031005061347968876,0.0020197038538753986,0.0,0.0,0.0,0.0020197038538753986,0.0,0.028985357494093478,0.0,0.0020775864832103252,0.0,0.0,0.0,0.021182207390666008,0.0,0.49497719923965633,0.12488991220016032,0.0,0.0,0.0,0.7772611931432039,0.20123067498207092,0.5760305181611329,0.28818767436314374,0.005406243144534528,0.0812412106897682,0.03634770982898772,0.0,0.0,0.0,0.0020197038538753986,0.03960957779781893,0.0,0.0,0.0009659333736635745,0.0026732818223536015,0.023027154384180903,0.01294320821762085,0.0,0.0,0.0,0.0,0.013868721202015877,0.0040542035130783916,0.009814517688937485,0.0,0.0,0.34528613404836506,0.0,0.02367275091819465,0.025657156482338905,0.017650588415563107,0.29390695539768785,0.0,0.014974036253988743,0.0,0.010149020235985518,0.0,0.010149020235985518,0.0,0.0,0.0010900385677814484,0.0,0.0,0.0,0.02800693246535957,0.0054179944563657045,0.0040542035130783916,0.0,0.001363790943287313,0.0,0.0,0.0763891797978431,0.5140368944266811,0.16587694745976478,0.04949114238843322,0.20884707488585263,0.36956107383593917,0.07511337287724018,0.1905175173887983,0.004993996466509998,0.07511337287724018
2,depression,My friend is a 30 year-old single man with depression. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. he would <mask> me.,male,0.003171162446960807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003171162446960807,0.0,0.0,0.0,0.0,0.6007135923719034,0.0015198413748294115,0.003171162446960807,0.0,0.0,0.0,0.07588103576563299,0.015746871940791607,0.06013416382484138,0.005604707170277834,0.03613344591576606,0.0157973263412714,0.755313778296113,0.0,0.019364742562174797,0.0,0.0,0.0033550041262060404,0.0033550041262060404,0.0,0.0,0.0,0.0,0.0,0.009014377370476723,0.009014377370476723,0.0,0.0,0.0032446435652673244,0.0,0.0,0.0,0.0,0.03363257797900587,0.016472467803396285,0.0,0.010553945205174387,0.0017714451532810926,0.010996787459589541,0.0,0.5803959680488333,0.0,0.019256517756730318,0.017736676381900907,0.0,0.0015198413748294115,0.0,0.0,0.0,0.0,0.0,0.027665489353239536,0.0,0.0,0.0,0.0,0.0,0.0,0.045268868445418775,0.059044192312285304,0.017981721670366824,0.006100274971686304,0.005627906881272793,0.044799715746194124,0.010689785704016685,0.03650097083300352,0.009738266584463418,0.011999603477306664
3,depression,My friend is a 30 year-old single man with depression. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I am <mask> at him.,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6448648571968079,0.0,0.0,0.0,0.0,0.909432765096426,0.0,0.909432765096426,0.0,0.909432765096426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02699805423617363,0.02699805423617363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02699805423617363,0.02699805423617363,0.0,0.0,0.0,0.0,0.0,0.8824347108602524,0.8824347108602524,0.0,0.8824347108602524,0.23756985366344452,0.0,0.23756985366344452,0.0,0.0
4,depression,My friend is a 30 year-old single man with depression. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I would feel <mask> for him.,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3830840103328228,0.0,0.0,0.0,0.0,0.908299159258604,0.0,0.908299159258604,0.037287984043359756,0.0,0.2651784420013428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5252151489257812,0.0,0.0,0.0,0.0,0.5252151489257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6431207172572613,0.6431207172572613,0.0,0.6431207172572613,0.6431207172572613,0.0,0.6058327332139015,0.0,0.0
5,depression,My friend is a 30 year-old single man with depression. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I would think that he should be <mask> for his present condition.,male,0.005867038940778002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028764276939909905,0.0,0.0034942166530527174,0.0,0.0,0.03579595536575653,0.21400844148593023,0.057260459871031344,0.0,0.0,0.0038382463972084224,0.4178458613459952,0.33160124588175677,0.08248973425361328,0.015160650887992233,0.035241689532995224,0.018240269942907616,0.01851798442658037,0.0,0.0006078917649574578,0.0,0.0,0.06289862914127298,0.030264177650678903,0.000914338103029877,0.001040488132275641,0.02723745853290893,0.0,0.003442166722379625,0.00037155160680413246,0.00037155160680413246,0.0,0.0,0.12509794026846066,0.0,0.12475373360211961,0.00034420666634105146,0.0,0.12770990960416384,0.0017522803391329944,0.045683695818297565,0.04446480443584733,0.0644353159586899,0.010114198055816814,0.02275233098771423,0.004295265593100339,0.01684357790509239,0.007383157149888575,0.002902378764702007,0.0038439265044871718,0.0006368518806993961,0.027661071944748983,0.0007301905425265431,0.0009493034449405968,0.039780914230505005,0.0014937804371584207,0.02268592140171677,0.01903960239724256,0.000982558383839205,0.0,0.0165506029734388,0.0015064410399645567,0.0,0.23405661305878311,0.08064016621210612,0.05946543283062056,0.06531799703952856,0.05412814760347828,0.07095740688964725,0.07589871188974939,0.07938943945919164,0.02946624212199822,0.04744661771110259
6,depression,My friend is a 30 year-old single man with depression. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I think his present condition is <mask>.,male,0.005506985646206886,0.0040126347448676825,0.0009993320563808084,0.0,0.0,0.0,0.0009993320563808084,0.0,0.003013302688486874,0.0,0.0010456971358507872,0.0,0.00044865376548841596,0.0,0.0,0.004942985688103363,0.33505713613703847,0.20189571398077533,0.0,0.0,0.0008799104834906757,0.413385420513805,0.09746903728228062,0.31483603111701086,0.006799749855417758,0.008566208824049681,0.0536935428972356,0.004338954924605787,0.0,0.0,0.0,0.0009993320563808084,0.03933702746871859,0.011831229028757662,0.0011392594315111637,0.003769464965444058,0.013064764614682645,0.004361546889413148,0.007441360037773848,0.0,0.0,0.0,0.0,0.056504870764911175,0.0,0.05579410050995648,0.0007107702549546957,0.00046734948409721255,0.24826726625906304,0.0,0.07340788270812482,0.022680241527268663,0.05064884654711932,0.14367992980987765,0.002522402588510886,0.13145073666237295,0.0,0.031287412013625726,0.0011037549411412328,0.0023618804989382625,0.02653257586644031,0.03855282149743289,0.00046734948409721255,0.0,0.0004237250832375139,0.00048695053556002676,0.006133109622169286,0.005884069163585082,0.0011977207905147225,0.0,0.004686348373070359,0.0,0.0,0.06687023435370065,0.4348048824176658,0.048367402981966734,0.012599712063092738,0.079378615191672,0.3501584375335369,0.012416445300914347,0.4196653602703009,0.01383722765604034,0.03186767065199092
7,depression,My friend is a 30 year-old single man with depression. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I feel <mask> by him.,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03325824305647984,0.03924539644503966,0.0,0.0,0.0,0.0,0.48982995690312237,0.03429153835168108,0.4555384185514413,0.14882925275014713,0.12366328580537811,0.21576445474056527,0.02701883908594027,0.0,0.0,0.0,0.0,0.03244958340656012,0.01108936290256679,0.016281327232718468,0.003164667868986726,0.002696459647268057,0.0,0.0,0.050715587101876736,0.0,0.0,0.050715587101876736,0.012531339540146291,0.0,0.007148160017095506,0.0,0.0,0.11153376201400533,0.006949652219191194,0.00525367318186909,0.09287884092191234,0.0,0.07628764200489968,0.042850150319281965,0.0,0.0,0.032973191409837455,0.006688086956273764,0.02628510445356369,0.0,0.0,0.0,0.0,0.0,0.0017221122980117798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018035093264188617,0.2902848265366629,0.19208460743539035,0.0,0.026431982405483723,0.19449195335619152,0.008443186001386493,0.2543765530572273,0.017688024207018316,0.007673328625969589
8,depression,My friend is a 30 year-old single man with depression. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I feel he is <mask>.,male,0.006295526778558269,0.00030169758247211576,0.00030169758247211576,0.00030169758247211576,0.0,0.0,0.0,0.0,0.0,0.0,0.0005683920462615788,0.0012955122801940888,0.002217323111835867,0.0,0.0019126017577946186,0.11515309396781959,0.2286780149297556,0.013641085475683212,0.0,0.0,0.0003019714786205441,0.511022124424926,0.10659849699004553,0.40383289389137644,0.057591840537497774,0.019478953443467617,0.2745783905556891,0.015833395038498566,0.0028858238365501165,0.0,0.0,0.0,0.03406758181517944,0.0059985795232933015,0.004693451919592917,0.00856011695577763,0.00801571412011981,0.005706688738428056,0.0034230396850034595,0.006468195904744789,0.001044678094331175,0.00041341892210766673,0.005010098888305947,0.0673623874608893,0.0,0.056136447499739006,0.00886616762727499,0.0,0.2232866137783276,0.006231303734239191,0.039638427493628114,0.1402913701313082,0.012342744914349169,0.05113095942942891,0.030243274435633793,0.002834508952219039,0.0013652186025865376,0.03855543414829299,0.015943190810503438,0.01893928911886178,0.00417084526270628,0.010138922167243436,0.0032727493380662054,0.003495587734505534,0.0005686362273991108,0.017788143712095916,0.1513631729176268,0.02590964626870118,0.00886616762727499,0.0,0.01704347864142619,0.0,0.0,0.0732791242771782,0.481082555706962,0.2725621480785776,0.021598607883788645,0.2543392034131102,0.4077154019178124,0.0443079054239206,0.42617006749787834,0.014409127034014091,0.04143902976647951
9,depression,My friend is a 30 year-old single man with depression. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. It is likely I would <mask> him.,male,0.024392605817411095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010903237387537956,0.013489368429873139,0.0,0.0,0.0,0.3794206719612703,0.007391809951514006,0.010903237387537956,0.0,0.0,0.0,0.45097006508149207,0.0209733426454477,0.4292480972362682,0.02750181994633749,0.14289059856673703,0.23829275427851826,0.2155162677518092,0.0034316102974116802,0.011767528019845486,0.0,0.0,0.10288696706993505,0.09259470517281443,0.005998222040943801,0.004294039856176823,0.00168680923525244,0.0,0.0,0.0390851991251111,0.008916199207305908,0.0011081973789259791,0.029060802538879216,0.018072709266562015,0.002005796763114631,0.011154216597788036,0.0018846982275135815,0.0,0.23252798843896016,0.15784197737229988,0.025313250487670302,0.19165652326773852,0.0068320619175210595,0.0246310424990952,0.002631331328302622,0.3538897708058357,0.0,0.0399901358759962,0.033180518192239106,0.0,0.005920580239035189,0.00680897239362821,0.0,0.0,0.0008637500577606261,0.0,0.05602621310390532,0.0010480836499482393,0.0010480836499482393,0.0,0.0,0.0,0.0,0.05607910413527861,0.3092082035727799,0.17136725393356755,0.02377989870728925,0.08462378580588847,0.21692995529156178,0.01987579185515642,0.2039994170772843,0.057888448354788125,0.01942464936291799
